,CAAB,Class,Order,Family,Subfamily,Genus,Species,Global.Region,Australian.common.name,Marine.region,Length.measure,a,b,aLL,bLL,Source,Source_Level,Local.region,Feeding.guild,EPBC.Threat.Status,IUCN.Ranking,FB.Vulnerability,FB.countries,FB.Status,FB.Length_MAX,FB.LTypeMaxM,RLS.trophic.level,RLS.trophic.breadth,RLS.trophic.group,RLS.water.column,RLS.substrate.type,RLS.complexity,RLS.night.day,RLS.gregariousness,RLS.thermal.niche,RLS.vulnerability,Fishing.mortality,Fishing.type,Fishing.intensity,MinLegal.NT,MaxLegal.NT,Bag.NT,MinLegal.WA,MaxLegal.WA,Bag.WA,MinLegal.QLD,MaxLegal.QLD,Bag.QLD,MinLegal.NSW,MaxLegal.NSW,Bag.NSW,MinLegal.Vic,MaxLegal.Vic,Bag.Vic,MinLegal.SA,MaxLegal.SA,Bag.SA,MinLegal.Tas,MaxLegal.Tas,Bag.Tas
Acanthurus nigricauda,37437013,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,nigricauda,Australia,Eyeline surgeonfish,CS/N/NW/TE,FL,0.01678,3.16772,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/NSW,algae/invertebrate consumer/herbivore,,Least Concern,24.96,"American.Samoa/Australia/Solomon.Islands/Sri.Lanka/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Indonesia/Japan/Korea.(Republic.of)/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Tonga/Tanzania,.United.Republic.of/Samoa",native,400,TL,3,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,26.64462,25,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus nigrofuscus,37437014,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,nigrofuscus,Australia,Dusky surgeonfish,NW/TE/SW/CS/Lord.Howe.Island/Christmas.Island/Cocos.Keeling,FL,0.02637,3.02837,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,herbivore,,Least Concern,27.14,"American.Samoa/Australia/Sri.Lanka/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Hong.Kong/India/Indonesia/Japan/Jordan/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Niue/Norfolk.Island/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Timor-Leste/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,210,TL,2,1,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,25.51332,27,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus nigros,37437015,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,nigros,Australia,Greyhead surgeonfish,CS/N,TL,0.02344,2.96,,,FishBase,LWR estimates for this Genus-body shape,,,,Least Concern,24.26,American.Samoa/Australia/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Guam/India/Indonesia/New.Caledonia/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Philippines/Pitcairn/Seychelles/Viet.Nam/Tonga/Samoa,native,250,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,26.04352,25,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus olivaceus,37437016,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,olivaceus,Australia,Orangeblotch surgeonfish,CS/N/NW/TE,FL,0.0606,2.7,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,algae/invertebrate consumer,,Least Concern,18.16,American.Samoa/Australia/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Guam/Hong.Kong/Indonesia/Japan/Malaysia/Mauritius/New.Caledonia/Vanuatu/Niue/Norfolk.Island/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Tonga/Samoa,native,350,TL,2.2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,24.60628,31,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus pyroferus,37437017,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,pyroferus,Australia,Mimic surgeonfish,NW/Christmas.Island/Cocos.Keeling/CS/TE/SE,TL,0.00179,3,0,1.080512,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros,herbivore,,Least Concern,28.92,American.Samoa/Australia/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Seychelles/Viet.Nam/Thailand/Tonga/Samoa,native,290,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,26.34628,29,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus thompsoni,37437018,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,thompsoni,Australia,Night surgeonfish,NW/Christmas.Island/Cocos.Keeling/CS,TL,0.01533,3,0,1.136837,FishBase,Species specific,Ningaloo/Pilbara/Negros,invertebrate carnivore,,Least Concern,25.1,American.Samoa/Australia/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Guam/India/Indonesia/Japan/Maldives/Mauritius/Mozambique/New.Caledonia/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Viet.Nam/South.Africa/Tonga/Samoa,native,270,TL,3.4,5,planktivore,Demersal,Hard bottom,Low,Day,3,26.2301,26,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus triostegus,37437019,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,triostegus,Australia,Convict surgeonfish,NW/Christmas.Island/Cocos.Keeling/CS/TE/SE,FL,0.132,2.392,0,1,FishBase,Species specific,Ningaloo/Pilbara,algae/invertebrate consumer,,Least Concern,16.26,"American.Samoa/Australia/Solomon.Islands/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Comoros/Cook.Islands/Costa.Rica/El.Salvador/Fiji/French.Polynesia/Kiribati/Guam/Guatemala/Honduras/Hong.Kong/India/Indonesia/Japan/Kenya/Madagascar/Malaysia/Maldives/Mauritius/Mexico/Mozambique/New.Caledonia/Vanuatu/New.Zealand/Nicaragua/Niue/Norfolk.Island/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Panama/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Tuvalu/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa/Yemen",native,270,TL,2.8,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,3,24.68379,16,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus xanthopterus,37437020,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Acanthurus,xanthopterus,Australia,Yellowmask surgeonfish,CS/N/NW/TE,FL,0.033,2.92,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,algae/invertebrate consumer,,Least Concern,37.08,"American.Samoa/Australia/Solomon.Islands/Sri.Lanka/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Comoros/Cook.Islands/Costa.Rica/Ecuador/El.Salvador/Fiji/French.Polynesia/Djibouti/Kiribati/Guam/Guatemala/Honduras/India/Indonesia/Japan/Kenya/Madagascar/Malaysia/Maldives/Mauritius/Mexico/Mozambique/New.Caledonia/Vanuatu/Nicaragua/Niue/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Panama/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa",native,700,TL,2.9,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,1,25.91147,37,N,,,,,,,,,,,,,,,,,,,,,,,
Achoerodus gouldii,37384002,Actinopterygii,Perciformes,Labridae,,Achoerodus,gouldii,Australia,Western blue groper,SW,TL,0.018,3.0441,0,1,FishBase,Species specific,West/Southwest,,,Vulnerable,65.92,Australia,endemic,1750,TL,3.8,3.697368,benthic invertivore,Demersal,Hard bottom,Low,Day,1,17.67682,85,Y,R,,,,,500,,Y,,,,,,,,,,,600,Y,,,Y
Achoerodus viridis,37384043,Actinopterygii,Perciformes,Labridae,,Achoerodus,viridis,Australia,Eastern blue groper,SE/TE,TL,0.01995,2.99,0,1,FishBase,LWR estimates for this (Sub)family-body shape,South-East/NSW/PSGLMP,generalist carnivore,,Near Threatened,68.09,Australia,endemic,620,TL,3.7,3.697368,benthic invertivore,Demersal,Hard bottom,Low,Day,1,19.40644,68,Y,R,,,,,,,,300,,,300,,,,,,,,,,,
Acreichthys tomentosus,37465042,Actinopterygii,Tetraodontiformes,Monacanthidae,,Acreichthys,tomentosus,Australia,Bristle-tail leatherjacket,NW/SW,TL,0.011,3.242,0,1,FishBase,Species specific,Northwest/West/Southwest,,,Least Concern,15.57,,,120,TL,,,,,,,,,,,N,,,,,,250,,Y,,,,,,,,,,,,,,,
Aeoliscus strigatus,37280003,Actinopterygii,Centriscidae,Centriscidae,,Aeoliscus,strigatus,Australia,Jointed razorfish,CS,TL,0.00389,3.12,0,1,FishBase,LWR estimates for this body shape,Northwest,,,Data Deficient,24.15,"Australia/Cambodia/China/Mayotte/Indonesia/Japan/Malaysia/New.Caledonia/Vanuatu/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Seychelles/Viet.Nam/Tanzania,.United.Republic.of",native,150,TL,3.5,2,benthic invertivore,Demersal,Hard bottom,High,Day,3,26.793,24,N,,,,,,,,,,,,,,,,,,,,,,,
Aethaloperca rogaa,37311134,Actinopterygii,Perciformes,Serranidae,Epinephelinae,Aethaloperca,rogaa,Australia/Indonesia/Philippines,Redmouth rockcod,NW/CS/Christmas.Island,SL,0.0299,3,0,1.222367,FishBase,Species specific,Timor/Negros/Pilbara,generalist carnivore,,Data Deficient,48.76,"Australia/Bahrain/Solomon.Islands/Brunei.Darussalam/Sri.Lanka/China/Christmas.Island/Comoros/Mayotte/Fiji/Djibouti/Kiribati/Guam/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Israel/Japan/Jordan/Kenya/Kuwait/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Papua.New.Guinea/Philippines/Qatar/R̩union/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/Yemen",native,600,TL,4.2,2.596491,higher carnivore,Demersal,Hard bottom,Medium,Day,1,26.704,49,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Aetobatus ocellatus,37039003,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatinae,Aetobatus,ocellatus,Australia,Whitespotted eagle ray,NW/TE/N/CS/Christmas.Island,TL,0.00389,3.09,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/Pilbara/West/Southwest/Pilbara/SEQ,macroinvertebrate carnivore,,Vulnerable,60.91,Australia/Sri.Lanka/China/French.Polynesia/Guam/Hong.Kong/India/Indonesia/Japan/Malaysia/New.Caledonia/Vanuatu/Saudi.Arabia/Thailand,native,1528,TL,3.2,1,benthic invertivore,Demersal,Hard bottom,Low,Day,1,23.14233,74,N,,,,,,,,,,,,,,,,,,,,,,,
Aetomylaeus vespertilio,37039005,Elasmobranchii,Rajiformes,Myliobatidae,,Aetomylaeus,vespertilio,Australia,Ornate eagle ray,NW,TL,0.00389,3.09,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,Endangered,55.58,Australia/China/Indonesia/Malaysia/Maldives/Mozambique/New.Caledonia/Philippines/Viet.Nam/Thailand,native,2400,WD,,,,,,,,,,,Y,B/C,,,,,,,,,,,,,,,,,,,,,,
Albula argentea,37055001,Actinopterygii,Albuliformes,Albulidae,Albulinae,Albula,argentea,Australia,Pacific bonefish,SW/NW/N/CS/TE,TL,0.01318,3.04,0,1.13027,FishBase,LWR estimates for this (Sub)family-body shape,Northwest/West/Southwest,,,Data Deficient,47.37,Australia/Fiji/French.Polynesia/Indonesia/Japan/New.Caledonia/Papua.New.Guinea,native,700,SL,,,,,,,,,,,Y,R,,,,,,,,,,,,,,,,,,,,,,
Aldrichetta forsteri,37381001,Actinopterygii,Mugiliformes,Mugilidae,,Aldrichetta,forsteri,Australia,Yelloweye mullet,SE/SW,TL,0.01122,2.98,0,1.075,FishBase,LWR estimates for this (Sub)family-body shape,South-East/NA,,,Least Concern,29.1,Australia/New.Zealand,native,500,SL,2.5,2.8,Browsing herbivore,pelagic non-site attached,Soft sediment,Medium,Day,3,15.972,29,Y,C/R,,,,,,,Y,,,,,,,,,,210,,Y,250,,Y
Alectis ciliaris,37337018,Actinopterygii,Perciformes,Carangidae,Caranginae,Alectis,ciliaris,Australia,Pennantfish,NW/TE,TL,0.019,2.894,0,1.1237,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,generalist carnivore,,Least Concern,68.96,"American.Samoa/Angola/Antigua.and.Barbuda/Australia/Bahamas/Bangladesh/Barbados/Bermuda/Brazil/Belize/Solomon.Islands/Virgin.Islands.(British)/Myanmar/Cambodia/Cameroon/Cabo.Verde/Cayman.Islands/Sri.Lanka/China/Colombia/Comoros/Mayotte/Congo/Cook.Islands/Costa.Rica/Cuba/Benin/Dominica/Dominican.Republic/Ecuador/El.Salvador/Equatorial.Guinea/Fiji/French.Guiana/French.Polynesia/Djibouti/Gabon/Gambia/Ghana/Grenada/Guadeloupe/Guam/Guatemala/Guinea/Guyana/Haiti/Honduras/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Israel/C̫te.d'Ivoire/Jamaica/Japan/Jordan/Kenya/Korea.(Republic.of)/Liberia/Madagascar/Malaysia/Maldives/Martinique/Mauritius/Mexico/Montserrat/Mozambique/Oman/Cura̤ao/Aruba/New.Caledonia/Vanuatu/Nicaragua/Nigeria/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Panama/Papua.New.Guinea/Peru/Philippines/Guinea-Bissau/Puerto.Rico/R̩union/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Saudi.Arabia/Senegal/Seychelles/Sierra.Leone/Singapore/Viet.Nam/Somalia/South.Africa/Suriname/Thailand/Togo/Tokelau/Tonga/Trinidad.and.Tobago/United.Arab.Emirates/Tuvalu/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Venezuela.(Bolivarian.Republic.of)/Samoa",native,1500,TL,3.8,4,higher carnivore,pelagic non-site attached,Soft sediment,Low,Day,3,,67,Y,R,,,,,,,Y,,,,,,,,,,,,,,,
Alectis indica,37337038,Actinopterygii,Perciformes,Carangidae,,Alectis,indica,Australia,Diamond trevally,NW/TE,SL,0.0717,2.64,0,0.907801,FishBase,Species specific,Northwest/NA,,,Least Concern,61.72,"Australia/Bahrain/Bangladesh/Myanmar/Cambodia/Sri.Lanka/China/Christmas.Island/Comoros/Mayotte/Fiji/French.Polynesia/Djibouti/Guam/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Japan/Kenya/Kuwait/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Pakistan/Papua.New.Guinea/Philippines/Qatar/R̩union/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/Tokelau/United.Arab.Emirates/Tuvalu/Egypt/Tanzania,.United.Republic.of/Yemen",native,1650,TL,,,,,,,,,,,Y,C/R,,,,,,,Y,,,,,,,,,,,,,,,
Alepes apercna,37337010,Actinopterygii,Perciformes,Carangidae,Caranginae,Alepes,apercna,Australia,Smallmouth scad,NW/N/CS/TE,TL,0.01413,2.96,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/Pilbara/West/Southwest/Pilbara,,,Least Concern,23.32,Australia/New.Caledonia,endemic,295,TL,,,,,,,,,,,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Alepes vari,37337067,Actinopterygii,Perciformes,Carangidae,Caranginae,Alepes,vari,Australia,Herring scad,NW,TL,0.01413,2.96,0,1.1413,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor/Negros,generalist carnivore,,Least Concern,34.01,Australia/Bahrain/Bangladesh/Solomon.Islands/Myanmar/Cambodia/Sri.Lanka/China/Djibouti/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Japan/Korea.(Democratic.People's.Republic.of)/Korea.(Republic.of)/Kuwait/Malaysia/Maldives/Oman/New.Caledonia/Pakistan/Papua.New.Guinea/Philippines/Qatar/Saudi.Arabia/Singapore/Viet.Nam/Somalia/Thailand/United.Arab.Emirates/Egypt/Yemen,native,560,TL,,,,,,,,,,,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Allomycterus pilatus,37469002,Actinopterygii,Tetraodontiformes,Diodontidae,,Allomycterus,pilatus,Australia,Australian burrfish,SW,TL,0.0309,2.89,0,1,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,Data Deficient,40.85,Australia/New.Zealand,native,500,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Alopias pelagicus,37012003,Elasmobranchii,Lamniformes,Alopiidae,,Alopias,pelagicus,Philippines/Australia,Pelagic thresher,NW,OT,0.0196,2.562,0,0.909,FishBase,Species specific,Negros/Pilbara,generalist carnivore,,Vulnerable,73.16,Australia/China/Colombia/Cook.Islands/Costa.Rica/Ecuador/El.Salvador/Fiji/French.Polynesia/Djibouti/Guam/Guatemala/Honduras/India/Iran.(Islamic.Republic.of)/Israel/Japan/Jordan/Korea.(Republic.of)/Malaysia/Maldives/Mexico/Oman/New.Caledonia/Nicaragua/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Pakistan/Panama/Philippines/Saudi.Arabia/Viet.Nam/Somalia/South.Africa/Tuvalu/Egypt/United.States.of.America/Yemen,native,4280,TL,,,,,,,,,,,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,
Alopias superciliosus,37012002,Elasmobranchii,Lamniformes,Alopiidae,,Alopias,superciliosus,Australia,Bigeye thresher,TE,TL,0.0102,2.78,13.2,1.61385,FishBase,Species specific,,,,Vulnerable,83.57,"Algeria/Angola/Australia/Bahamas/Brazil/Cabo.Verde/Sri.Lanka/Chile/Colombia/Costa.Rica/Cuba/Ecuador/Fiji/France/Gambia/Greece/Guinea/Guyana/India/Italy/Japan/Kenya/Libya/Madagascar/Maldives/Mauritius/Mexico/Monaco/Morocco/Mozambique/Oman/Namibia/Cura̤ao/Aruba/New.Caledonia/New.Zealand/Nicaragua/Pakistan/Panama/Philippines/Portugal/Guinea-Bissau/R̩union/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Senegal/Sierra.Leone/Viet.Nam/Somalia/South.Africa/Spain/Thailand/Trinidad.and.Tobago/Tunisia/Turkey/United.States.of.America/Uruguay/Venezuela.(Bolivarian.Republic.of)",native,4880,TL,,,,,,,,,,,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,
Alopias vulpinus,37012001,Elasmobranchii,Lamniformes,Alopiidae,,Alopias,vulpinus,Australia,Thresher shark,SE,FL,0.0188,2.519,0,1,FishBase,Species specific,South-East,,,Vulnerable,68.44,"Albania/Algeria/Angola/Argentina/Australia/Bahamas/Belgium/Bosnia.and.Herzegovina/Brazil/British.Indian.Ocean.Territory/Canada/Sri.Lanka/Chile/China/Colombia/Mayotte/Croatia/Cuba/Cyprus/Denmark/Ecuador/Faroe.Islands/Fiji/France/French.Guiana/French.Polynesia/Gabon/Gambia/Ghana/Kiribati/Greece/Guinea/Guyana/India/Indonesia/Ireland/Israel/Italy/C̫te.d'Ivoire/Japan/Kenya/Korea.(Republic.of)/Lebanon/Liberia/Libya/Maldives/Malta/Mauritania/Mauritius/Mexico/Monaco/Montenegro/Morocco/Mozambique/Oman/Namibia/Netherlands/New.Caledonia/New.Zealand/Nicaragua/Norway/Pakistan/Panama/Philippines/Portugal/Guinea-Bissau/R̩union/Senegal/Sierra.Leone/Viet.Nam/Slovenia/Somalia/South.Africa/Spain/Western.Sahara/Suriname/Sweden/Syrian.Arab.Republic/Thailand/Trinidad.and.Tobago/Tunisia/Turkey/Egypt/United.Kingdom.of.Great.Britain.and.Northern.Ireland/Isle.of.Man/Tanzania,.United.Republic.of/United.States.of.America/Uruguay/Venezuela.(Bolivarian.Republic.of)/Yemen",native,5733,TL,,,,,,,,,,,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,
Aluterus monoceros,37465022,Actinopterygii,Tetraodontiformes,Monacanthidae,,Aluterus,monoceros,Australia,Unicorn leatherjacket,CS/N/NW/SW/TE,TL,0.0222,2.86,0,1.03434,FishBase,Species specific,West/Southwest/Ningaloo/Pilbara/West/Southwest/Ningaloo/Pilbara/NSW,algae/invertebrate consumer/algae/invertebrate consumer/invertebrate carnivore,,Least Concern,47.86,"Argentina/Australia/Bahrain/Brazil/Belize/Myanmar/Chile/China/Colombia/Costa.Rica/Cuba/Dominican.Republic/Ecuador/El.Salvador/French.Guiana/Guatemala/Guyana/Honduras/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Japan/Jordan/Korea.(Republic.of)/Kuwait/Malaysia/Mexico/Mozambique/Oman/New.Caledonia/New.Zealand/Nicaragua/Northern.Mariana.Islands/Palau/Panama/Papua.New.Guinea/Peru/Philippines/Portugal/Qatar/R̩union/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Spain/Suriname/Trinidad.and.Tobago/United.Arab.Emirates/Tunisia/United.States.of.America/Uruguay/Yemen",native,762,TL,,,,,,,,,,,N,,,,,,250,,Y,,,,,,,,,,,,,,,
Aluterus scriptus,37465045,Actinopterygii,Tetraodontiformes,Monacanthidae,,Aluterus,scriptus,Australia,Scrawled leatherjacket,CS/N/NW,TL,0.823,1.814,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros,algae/invertebrate consumer,,Least Concern,69.33,"American.Samoa/Antigua.and.Barbuda/Australia/Bahamas/Barbados/Brazil/Virgin.Islands.(British)/Cambodia/Canada/Cabo.Verde/Cayman.Islands/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Cook.Islands/Costa.Rica/Cuba/Dominica/Dominican.Republic/Ecuador/El.Salvador/Fiji/French.Polynesia/Djibouti/Grenada/Guadeloupe/Guam/Guatemala/Haiti/Honduras/Hong.Kong/India/Indonesia/Jamaica/Japan/Jordan/Korea.(Republic.of)/Malaysia/Maldives/Martinique/Mauritius/Mexico/Montserrat/Mozambique/Oman/Cura̤ao/Aruba/New.Caledonia/Vanuatu/New.Zealand/Nicaragua/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Panama/Papua.New.Guinea/Philippines/Pitcairn/Portugal/Puerto.Rico/R̩union/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Sao.Tome.and.Principe/Seychelles/Sierra.Leone/Viet.Nam/Somalia/South.Africa/Tonga/Trinidad.and.Tobago/Turks.and.Caicos.Islands/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Samoa/Yemen",native,1100,TL,2.8,3,Browsing herbivore,Demersal,Hard bottom,Medium,Day,1,,70,N,,,,,,250,,Y,,,,,,,,,,,,,,,
Amanses scopas,37465046,Actinopterygii,Tetraodontiformes,Monacanthidae,,Amanses,scopas,Australia,Broom filefish,CS/N/NW,TL,0.02188,2.91,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Negros,invertebrate carnivore,,Least Concern,27.34,"American.Samoa/Australia/China/Christmas.Island/French.Polynesia/Guam/Indonesia/Japan/Jordan/Madagascar/Maldives/Mauritius/Mozambique/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa",native,200,TL,2.9,3.933333,Browsing herbivore,Demersal,Hard bottom,Medium,Day,1,25.259,30,N,,,,,,250,,Y,,,,,,,,,,,,,,,
Amblycirrhitus bimacula,37374002,Actinopterygii,Perciformes,Cirrhitidae,,Amblycirrhitus,bimacula,Australia,Twinspot hawkfish,NW/N/CS,TL,0.0166,3.01,0,1,FishBase,LWR estimates for this species & (Sub)family-body,,,,,,,,85,TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblyeleotris steinitzi,37428043,Actinopterygii,Perciformes,Gobiidae,Gobiinae,Amblyeleotris,steinitzi,Philippines/Australia,Steinitz's shrimpgoby,NW/CS,TL,0.00617,3.08,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Negros,zooplanktivore,,,30.38,"Australia/Solomon.Islands/Sri.Lanka/Guam/Indonesia/Japan/Jordan/Maldives/Mauritius/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa",native,130,SL,3.4,2.847826,benthic invertivore,benthic,Soft sediment,Low,Day,2,26.823,32,N,,,,,,,,,,,,,,,,,,,,,,,
Amblyeleotris wheeleri,37428044,Actinopterygii,Perciformes,Gobiidae,Gobiinae,Amblyeleotris,wheeleri,Australia,Burgundy shrimpgoby,NW/CS/TE/Christmas.Island,TL,0.00617,3.08,0,1.01103,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/Pilbara/West/Southwest/Pilbara,,,Least Concern,25.83,Australia/Fiji/Guam/Indonesia/Japan/Maldives/Mauritius/Oman/Vanuatu/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/South.Africa/Yemen,native,100,SL,3.4,2.847826,benthic invertivore,benthic,Soft sediment,Low,Day,2,26.8975,27,N,,,,,,,,,,,,,,,,,,,,,,,
